customer_id,first_name,last_name,date_of_birth,customer_segment,risk_profile,region,customer_since
10001,Priya,Chen,1961-12-09,Retail,Low,Auckland,2024-08-03
10002,Sophie,Roberts,1965-10-14,Retail,Low,Wellington,2022-09-01
10003,Olivia,Anderson,1995-04-23,Retail,Low,Wellington,2022-01-14
10004,Noah,Garcia,1960-03-23,Retail,Low,Wellington,2025-07-25
10005,Hannah,Chen,1965-07-04,Retail,Low,Christchurch,2017-06-27
10006,Sophie,Martin,1994-02-13,Retail,Low,Dunedin,2023-12-09
10007,Henry,Singh,1972-12-03,Retail,Low,Christchurch,2017-11-23
10008,Ella,Chen,1984-05-15,Retail,Low,Christchurch,2020-12-26
10009,Daniel,Thompson,1977-12-22,Retail,Low,Wellington,2022-12-28
10010,Sophie,Evans,1970-08-13,Retail,Medium,Dunedin,2023-04-01
10011,Ella,Thompson,1980-01-08,Premium,Medium,Hamilton,2020-01-02
10012,Amelia,Das,1996-12-11,Retail,Low,Dunedin,2022-02-23
10013,Ben,Garcia,1968-04-24,Retail,Low,Tauranga,2021-10-21
10014,Noah,Khan,1983-04-05,Retail,Low,Auckland,2018-03-26
10015,Ben,Taylor,1970-11-14,Retail,Low,Tauranga,2022-04-02
10016,Liam,Garcia,1995-01-22,Premium,Medium,Tauranga,2025-06-03
10017,Ethan,Young,2001-06-04,Retail,Low,Auckland,2025-02-05
10018,Sophie,Garcia,1992-03-17,Small Business,Medium,Christchurch,2024-03-02
10019,Liam,Smith,1972-03-12,Premium,Low,Palmerston North,2022-12-13
10020,Aarav,Smith,1980-08-01,Retail,Low,Palmerston North,2020-06-13
10021,Ella,Brown,1975-10-03,Retail,Low,Auckland,2025-07-13
10022,Mia,Young,1968-03-22,Retail,Low,Christchurch,2022-12-02
10023,Olivia,Lee,1973-09-25,Premium,Low,Christchurch,2021-06-23
10024,Riya,Taylor,1983-08-17,Retail,Low,Auckland,2020-10-16
10025,Aarav,Singh,1995-04-19,Retail,Low,Dunedin,2017-08-30
10026,Ella,Campbell,1962-06-03,Retail,Low,Hamilton,2019-05-28
10027,Mia,Carter,1996-10-16,Retail,Low,Hamilton,2019-02-19
10028,Arjun,Chen,2002-07-12,Retail,Low,Dunedin,2017-08-10
10029,Riya,Taylor,2001-02-02,Retail,Low,Palmerston North,2018-03-24
10030,Ella,Das,1972-09-15,Retail,Low,Hamilton,2019-10-21
10031,Amelia,Martin,1995-02-02,Retail,Low,Auckland,2018-01-18
10032,Thomas,Evans,1970-07-16,Retail,Medium,Auckland,2018-11-06
10033,Isla,Anderson,1984-05-26,Premium,Low,Dunedin,2025-03-12
10034,William,Roberts,2002-12-16,Retail,Low,Auckland,2023-07-01
10035,Sophie,Roberts,1963-12-11,Retail,Low,Tauranga,2022-12-16
10036,Charlotte,Brown,1992-02-28,Retail,Low,Dunedin,2019-08-22
10037,Isla,Chen,1996-04-19,Retail,Low,Hamilton,2024-05-16
10038,Noah,Singh,1993-06-09,Retail,Medium,Wellington,2019-12-24
10039,Isla,Carter,2002-11-10,Retail,Medium,Auckland,2017-02-08
